timestamp,open,high,low,close,volume,sma5,ema5,sma200,sma20,rsi14
2018-01-23,360.0,360.5,351.0,352.79,5428872,349.2200000000007,348.67825125298435,334.98580000000004,330.75250000000017,66.86262513316329
2018-01-24,354.58,354.75,343.52,345.89,5251654,348.9660000000007,347.74883416865623,335.20255000000003,331.7870000000002,59.62865170517338
2018-01-25,348.27,349.2,336.4,337.64,6640964,347.5800000000007,344.37922277910417,335.32880000000006,332.80450000000025,52.337501974873405
2018-01-26,341.5,344.0,335.71,342.85,4515013,346.14600000000075,343.8694818527361,335.49950000000007,334.36500000000024,55.99676861041882
2018-01-29,339.85,350.85,338.28,349.53,4722025,345.7400000000008,345.7563212351574,335.76295000000005,336.07350000000025,60.21438216912416
2018-01-30,345.14,348.27,342.17,345.82,4696465,344.3460000000008,345.7775474901049,335.9720500000001,337.7970000000002,56.94959421776582
2018-01-31,347.51,356.19,345.19,354.31,6076998,346.0300000000008,348.6216983267366,336.23640000000006,339.4860000000002,62.02397148915971
2018-02-01,351.0,359.66,348.63,349.25,4163194,348.3520000000009,348.8311322178244,336.48140000000006,341.08600000000024,57.661627486835584
2018-02-02,348.44,351.95,340.51,343.75,3674909,348.5320000000009,347.1374214785496,336.67255000000006,342.54250000000025,53.275467544204446
2018-02-05,337.97,344.47,333.0,333.13,4053777,345.2520000000009,342.4682809856997,336.8256500000001,343.37000000000023,45.999406888835466
2018-02-06,325.21,336.22,323.5,333.97,4937928,342.8820000000009,339.63552065713316,336.9675000000001,343.2480000000003,46.620395796925905
2018-02-07,338.99,346.0,335.66,345.0,5846823,341.0200000000009,341.42368043808875,337.15235000000007,343.8135000000003,54.086685965437695
2018-02-08,343.31,348.62,314.6,315.23,9996464,334.2160000000009,332.6924536253925,337.1595500000001,342.83500000000026,38.45334896769015
2018-02-09,319.93,320.9845,294.76,310.42,12795099,327.5500000000009,325.26830241692835,337.1608000000001,341.4585000000003,36.61200163884337
2018-02-12,316.13,318.08,306.25,315.73,6166161,324.0700000000009,322.08886827795226,337.19630000000006,340.43400000000025,40.02626316807384
2018-02-13,315.02,324.19,312.5105,323.66,4506915,322.0080000000009,322.6125788519682,337.24425,339.6140000000002,44.80742812846111
2018-02-14,320.84,326.17,318.52,322.31,3930911,317.4700000000009,322.51171923464545,337.24165,338.37150000000025,44.16197256784759
2018-02-15,324.5,334.12,322.4,334.065,5892048,321.2370000000009,326.362812823097,337.31752500000005,337.8462500000002,50.806951586616115
2018-02-16,332.5,343.12,331.64,335.49,5585810,326.2510000000009,329.4052085487313,337.43987500000003,337.1197500000002,51.5595249692514
2018-02-20,334.47,340.84,331.5,334.77,3996951,330.0590000000009,331.19347236582087,337.63642500000003,336.2802500000002,51.13387156632541
