timestamp,open,high,low,close,volume,sma5,rsi14
2015-09-16,136.26,137.43,136.0104,137.2,2504368,135.23,53.55609221158095
2015-09-17,137.36,139.91,136.94,137.45,3405575,136.01,54.04223087683776
2015-09-18,135.75,137.69,134.4,136.09,7302713,136.294,50.91974005078322
2015-09-21,136.42,137.45,134.94,136.02,2460863,136.612,50.757181725044404
2015-09-22,134.49,134.49,132.52,133.99,3464997,136.15,46.15537856093198
2015-09-23,134.66,135.0,131.61,131.67,4907463,135.044,41.5221185503008
2015-09-24,130.72,130.77,127.18,129.75,5297023,133.504,38.11232758812982
2015-09-25,131.57,131.73,129.28,131.01,4149269,132.488,41.507061143188196
2015-09-28,130.44,130.48,128.03,128.13,4104019,130.91,36.56935269501414
2015-09-29,128.11,129.145,127.47,128.75,2935049,129.862,38.27178961662937
2015-09-30,130.27,131.41,129.621,130.95,3025421,129.71800000000002,44.01385490448318
2015-10-01,131.32,131.789,128.9801,130.61,2878388,129.89000000000001,43.34282393640366
2015-10-02,129.0,132.59,128.56,132.56,3020473,130.2,48.218841858848485
2015-10-05,132.28,134.15,131.35,134.02,4587247,131.378,51.57890836039899
2015-10-06,134.1,135.54,133.67,134.63,3059466,132.554,52.95255128452631
2015-10-07,135.69,137.73,135.26,137.02,3284108,133.76799999999997,57.98207259689368
2015-10-08,136.66,139.35,136.07,139.04,2835713,135.45399999999998,61.70801867561767
2015-10-09,139.07,140.2399,138.36,139.7,3065696,136.88199999999998,62.86664496529988
2015-10-12,139.93,141.07,139.32,140.68,1942171,138.214,64.58038973316454
2015-10-13,139.44,140.5,139.43,140.29,2339688,139.34599999999998,63.327826246145996
2015-10-14,139.75,140.89,133.58,134.22,8747037,138.786,47.79122509307072
2015-10-15,135.16,137.66899999999998,135.0,137.39,6368293,138.456,54.12154265284156
2015-10-16,137.43,138.73,136.52,137.6,3173330,138.036,54.514997529870726
2015-10-19,137.6,138.61,136.39,138.42,4021966,137.584,56.09823953401826
2015-10-20,137.94,139.93,137.58,138.88,4202644,137.30200000000002,57.002413141344505
2015-10-21,141.7,142.15,136.61,141.19,8976509,138.696,61.31154789961627
2015-10-22,142.0,147.36,141.93,146.31,6976122,140.48,68.77987450507251
2015-10-23,147.37,147.75,144.91,146.7,4691229,142.29999999999998,69.2665424029651
2015-10-26,146.21,147.23,145.55,146.7,3143377,143.95599999999996,69.2665424029651
2015-10-27,146.22,148.99,146.0101,148.46,3410812,145.87199999999999,71.5848222504407
2015-10-28,147.99,148.81,145.14,147.88,4408260,147.20999999999998,69.71843367129446
2015-10-29,147.54,147.869,145.83,147.18,3071764,147.38400000000001,67.43330686607638
2015-10-30,147.4,149.6,147.09,148.07,3938024,147.658,68.83207960384439
2015-11-02,148.38,149.47,147.56,148.4,2516541,147.998,69.3576182200208
2015-11-03,148.03,148.46,147.14,148.09,2469415,147.924,68.19435585922417
2015-11-04,147.26,148.76,147.18,148.19,2771502,147.986,68.37859742846018
2015-11-05,148.19,148.84,146.49,147.97,2545336,148.144,67.45285298083232
2015-11-06,146.58,148.17,146.01,147.94,2294059,148.11800000000002,67.31901113643733
2015-11-09,146.9,147.48,145.18,145.98,2980833,147.63400000000004,59.07206359512026
2015-11-10,145.28,146.14,144.03,145.15,2524124,147.04600000000002,55.94645371130002
2015-11-11,145.2,145.83,144.52,144.99,1589325,146.40600000000003,55.33858851219302
2015-11-12,143.0,144.4,141.59,142.54,3796076,145.32000000000002,46.93011565103628
2015-11-13,142.33,143.89,141.86,142.59,3063568,144.25000000000006,47.106751112069595
2015-11-16,142.58,144.5,142.33,144.42,2378332,143.93800000000005,53.24099182853374
2015-11-17,145.29,146.5931,144.638,146.08,3038322,144.12400000000005,57.999361166998966
2015-11-18,146.24,148.385,146.23,148.28,3099834,144.78200000000004,63.32596962481161
2015-11-19,148.79,149.48,148.26,149.24,2492572,146.12200000000004,65.38871596479623
2015-11-20,149.84,150.585,149.12,149.4,3210129,147.48400000000004,65.734636197958
2015-11-23,149.39,149.7,147.71,148.34,3182629,148.26800000000006,61.35932081563332
2015-11-24,147.49,149.59,147.215,148.65,2626649,148.78200000000004,62.152717378799984
2015-11-25,149.04,149.15,147.38,147.43,1852242,148.61200000000002,57.1770627740612
2015-11-27,147.5,147.97,146.68,146.95,1282131,148.15400000000005,55.30124309401314
2015-11-30,146.97,147.26,145.36,145.45,3175825,147.36400000000006,49.80259502679113
2015-12-01,146.54,149.4,146.47,147.74,3444346,147.24400000000006,56.85560252318062
2015-12-02,147.55,148.03,146.38,146.96,2648847,146.90600000000006,54.06893779451341
2015-12-03,147.05,147.63,144.28,145.56,3008656,146.53200000000007,49.38979012396109
2015-12-04,146.35,148.78,146.09,148.5,3892356,146.84200000000004,57.6736654183955
2015-12-07,148.3,149.5,147.32,148.45,3417715,147.44200000000006,57.5012880111012
2015-12-08,146.82,147.23,144.65,144.99,5020885,146.89200000000005,47.026677861358586
2015-12-09,144.6,145.69,142.27100000000002,144.24,5124573,146.34800000000004,45.10850146324927
2015-12-10,144.62,147.455,144.16,146.41,3278479,146.51800000000003,51.298236827625466
2015-12-11,145.0,145.7,143.72,144.62,3684384,145.74200000000002,46.62748330314853
2015-12-14,144.5,144.5,141.46,143.0,4841724,144.65200000000004,42.82691959455605
2015-12-15,145.66,147.1,144.12,146.53,4705329,144.96000000000004,52.00667758114921
2015-12-16,147.98,148.61,146.23,148.11,3315793,145.73400000000004,55.45424692286324
2015-12-17,148.85,149.8,145.5,145.56,3448810,145.56400000000005,49.29909322080508
2015-12-18,144.41,144.41,138.89,139.58,9914494,144.55600000000007,38.50537386669952
2015-12-21,140.21,141.94,139.7,140.9,3746389,144.13600000000005,41.547603170395206
2015-12-22,141.72,142.79,140.5,142.38,2791615,143.30600000000007,44.842428413614314
2015-12-23,143.08,144.07,142.81,144.06,3353818,142.49600000000007,48.39814872868884
2015-12-24,143.6,143.93,143.36,143.53,1184981,142.09000000000006,47.360874846060184
2015-12-28,143.26,144.67,142.845,144.54,1980017,143.08200000000005,49.578610068789324
2015-12-29,145.06,147.56,145.0,147.35,3133508,144.37200000000004,55.230028673829864
2015-12-30,147.22,148.0,146.01,146.41,1618898,145.17800000000005,53.086482558376325
2015-12-31,145.96,145.96,144.5,144.59,2104978,145.28400000000005,49.11206091409743
2016-01-04,141.38,141.7,139.43,140.5,5719241,144.67800000000005,41.5785718791026
2016-01-05,140.99,141.7,139.77,141.07,3349871,143.98400000000007,42.89328622460019
2016-01-06,138.83,139.35,137.26,138.83,4253790,142.28000000000006,39.16338523756753
