timestamp,open,high,low,close,volume,valid,sma
2018-10-31,105.435,108.14,105.39,106.81,51062383,Y,106.824
2018-10-30,103.66,104.38,100.11,103.73,65350878,Y,106.026
2018-10-29,108.105,108.7,101.63,103.85,55162001,Y,105.29400000000001
2018-10-26,105.69,108.75,104.76,106.96,55523104,Y,105.45400000000002
2018-10-25,106.55,109.27,106.15,108.3,61646819,Y,105.92999999999999
2018-10-24,108.41,108.49,101.5901,102.32,63897759,Y,105.032
2018-10-23,107.77,108.97,105.11,108.1,43770429,Y,105.90599999999999
2018-10-22,109.32,110.54,108.24,109.63,26545607,Y,107.06199999999998
2018-10-19,108.93,110.86,108.21,108.66,32785475,Y,107.402
2018-10-18,110.1,110.53,107.83,108.5,32506192,Y,107.44199999999998
2018-10-17,111.68,111.81,109.5482,110.71,26548243,Y,109.12
2018-10-16,109.54,111.41,108.95,111.0,31610164,Y,109.7
2018-10-15,108.91,109.48,106.9468,107.6,32068103,Y,109.29400000000001
2018-10-12,109.01,111.24,107.12,109.57,47742109,Y,109.47599999999997
2018-10-11,105.35,108.93,104.2,105.91,63904282,Y,108.958
2018-10-10,111.24,111.5,105.79,106.16,61376300,Y,108.04799999999997
2018-10-09,111.14,113.08,110.8,112.26,26198594,Y,108.3
